movieId,title,genres,imdbId,tmdbId,poster_url,title_pt
24,Powder (1995),Drama|Sci-Fi,114168,12665.0,https://image.tmdb.org/t/p/w500/PdqliHbL6bj9JrQ1eyGGRkpGAJ.jpg,Energia Pura
25,Leaving Las Vegas (1995),Drama|Romance,113627,451.0,https://image.tmdb.org/t/p/w500/fqgYqr5Nse89cU9a7dVHhd5lrPg.jpg,Despedida em Las Vegas
26,Othello (1995),Drama,114057,16420.0,https://image.tmdb.org/t/p/w500/kyevuYzW36wKadiE8lftLac5VwQ.jpg,Othello
27,Now and Then (1995),Children|Drama,114011,9263.0,https://image.tmdb.org/t/p/w500/4U2JKmNZLs6CbgaDrZupeB40N57.jpg,Amigas para Sempre aka Agora e Sempre
28,Persuasion (1995),Drama|Romance,114117,17015.0,https://image.tmdb.org/t/p/w500/3MwunVE65fGNJRuXC4lJzaPzDty.jpg,Persuasão
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902.0,https://image.tmdb.org/t/p/w500/wnHKvvBH1epZ4CvD31dKwV51weJ.jpg,Ladrão de Sonhos
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012,37557.0,https://image.tmdb.org/t/p/w500/nzydiNaVUJaIa48aDdwgIMjtChM.jpg,Operação Xangai
31,Dangerous Minds (1995),Drama,112792,9909.0,https://image.tmdb.org/t/p/w500/gGejznMDy26IF0El7xMMqQv9ewu.jpg,Mentes Perigosas
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63.0,https://image.tmdb.org/t/p/w500/iqwq8DOZFwcEIChbuAXCWIdThJT.jpg,Os 12 Macacos
34,Babe (1995),Children|Drama,112431,9598.0,https://image.tmdb.org/t/p/w500/1JCaSMPbvGBFZTenMy3F0XzDo1.jpg,"Babe, o Porquinho Atrapalhado"
36,Dead Man Walking (1995),Crime|Drama,112818,687.0,https://image.tmdb.org/t/p/w500/y8Xgpw5Reh1Kkv7AbeUjTSjaMFH.jpg,Os Últimos Passos de um Homem
38,It Takes Two (1995),Children|Comedy,113442,33689.0,https://image.tmdb.org/t/p/w500/glATnfqdFylOXq9GtRbRE0tQVVx.jpg,As Namoradas do Papai
39,Clueless (1995),Comedy|Romance,112697,9603.0,https://image.tmdb.org/t/p/w500/sfgpINIXoGEUkA3n6k7of89bP9x.jpg,As Patricinhas de Beverly Hills
40,"Cry, the Beloved Country (1995)",Drama,112749,34615.0,https://image.tmdb.org/t/p/w500/96TZr6o4kuiIEryC5jkzaQoP6m5.jpg,Os Deserdados
41,Richard III (1995),Drama|War,114279,31174.0,https://image.tmdb.org/t/p/w500/1TaHsHmIkDHqQh368c74h5TUqYN.jpg,Ricardo III
42,Dead Presidents (1995),Action|Crime|Drama,112819,11443.0,https://image.tmdb.org/t/p/w500/eGfsSXizR11tTHVo0kuOOFPAxZt.jpg,Ambição em Alta Voltagem
43,Restoration (1995),Drama,114272,35196.0,https://image.tmdb.org/t/p/w500/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg,O Outro Lado da Nobreza
44,Mortal Kombat (1995),Action|Adventure|Fantasy,113855,9312.0,https://image.tmdb.org/t/p/w500/mxH8ko3KfD1sKe8H8U4a5hvH8ko.jpg,Mortal Kombat
45,To Die For (1995),Comedy|Drama|Thriller,114681,577.0,https://image.tmdb.org/t/p/w500/c3YeUqjTJX3bvCFiMFQQa74ZPTv.jpg,Um Sonho Sem Limites
46,How to Make an American Quilt (1995),Drama|Romance,113347,11861.0,https://image.tmdb.org/t/p/w500/lge3PeJX2Ri1H8aRKwKs1UaTCoF.jpg,Colcha de Retalhos
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807.0,https://image.tmdb.org/t/p/w500/dZXYPSEaXCeigR2GEuZoukNmLTf.jpg,Seven - Os Sete Crimes Capitais
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148,10530.0,https://image.tmdb.org/t/p/w500/q5MYFXVy8UQ1ds76fdJs6AJbMzv.jpg,Pocahontas: O Encontro de Dois Mundos
49,When Night Is Falling (1995),Drama|Romance,114916,8391.0,https://image.tmdb.org/t/p/w500/6Ac5GLwJ01uli5mCXqXwquR36Y1.jpg,When Night Is Falling
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629.0,https://image.tmdb.org/t/p/w500/8RrGQ3kSiu2JJatkQ3o0DdXUGUU.jpg,Os Suspeitos
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819,11448.0,https://image.tmdb.org/t/p/w500/j1OA7BNHKHWE6cHnF0WcnUTtxSF.jpg,Poderosa Afrodite
53,Lamerica (1994),Adventure|Drama,110299,49133.0,https://image.tmdb.org/t/p/w500/1oeLiGLbjXi32ZPIrzTrYIsKFd5.jpg,América - O Sonho de Chegar
54,"Big Green, The (1995)",Children|Comedy,112499,26441.0,https://image.tmdb.org/t/p/w500/7zyOEJjBOHFpDhvybnvJOhXKP1c.jpg,Pisando na Bola
55,Georgia (1995),Drama,113158,97406.0,https://image.tmdb.org/t/p/w500/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg,Georgia
57,Home for the Holidays (1995),Drama,113321,9089.0,https://image.tmdb.org/t/p/w500/3zqlKdOttWyExzopVxglz50Vjxq.jpg,Feriados em Família
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,110877,11010.0,https://image.tmdb.org/t/p/w500/hyKKKcUqGBw8Qfwh0IFCUeL7dpD.jpg,O Carteiro e o Poeta
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,113419,11359.0,https://image.tmdb.org/t/p/w500/xZMmUOzxIWEd8ClJjJZCC33UmVu.jpg,A Chave Mágica
61,Eye for an Eye (1996),Drama|Thriller,116260,17182.0,https://image.tmdb.org/t/p/w500/tpmmKAMLrm4PKWFEUDwrXowtMNp.jpg,Olho por Olho
62,Mr. Holland's Opus (1995),Drama,113862,2054.0,https://image.tmdb.org/t/p/w500/zVx2N7Z4xR5B00USVkFIeY8PvvJ.jpg,Mr. Holland: Adorável Professor
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,116126,10607.0,https://image.tmdb.org/t/p/w500/dipKX3GZj0vear7UNbldc7jgskE.jpg,Vizinhança do Barulho
64,Two if by Sea (1996),Comedy|Romance,118002,19760.0,https://image.tmdb.org/t/p/w500/56QAtyIhlCgNGZEFlJAKGwj0alM.jpg,Corações Roubados
65,Bio-Dome (1996),Comedy,115683,9536.0,https://image.tmdb.org/t/p/w500/rO03HRMYvb6C0viHNdTt1fQrOI9.jpg,Malucos Por Natureza
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,116839,11525.0,https://image.tmdb.org/t/p/w500/aP8eGsCyZVCHgSMxhDa4KiC7H9B.jpg,O Passageiro do Futuro 2
68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149,4482.0,https://image.tmdb.org/t/p/w500/lP4BHdzgW2PzdbMYulXIg2o9RqT.jpg,Uma Cama Para Três
69,Friday (1995),Comedy,113118,10634.0,https://image.tmdb.org/t/p/w500/oM6hiQYs8ERJMo36u3pIZNwLhQN.jpg,Sexta-feira em Apuros
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367,755.0,https://image.tmdb.org/t/p/w500/e94hzzORbyNlCObOR6nd8XneAuf.jpg,Um Drink no Inferno
71,Fair Game (1995),Action,113010,11859.0,https://image.tmdb.org/t/p/w500/c0JkKNhVwDk04QrNqMtkBKvU1Pf.jpg,Atração Explosiva
72,Kicking and Screaming (1995),Comedy|Drama,113537,28387.0,https://image.tmdb.org/t/p/w500/ynAtSpTou7snNOq32djzILw9VCA.jpg,Tempo de Decisão
73,"Misérables, Les (1995)",Drama|War,113828,48750.0,https://image.tmdb.org/t/p/w500/xN4r85lpLxuKgV4DYSJwFWTS5eL.jpg,Os Miseráveis
74,Bed of Roses (1996),Drama|Romance,115644,20927.0,https://image.tmdb.org/t/p/w500/zCXvHCEm8334d0d646ldDkXnKws.jpg,Rosas da Sedução
75,Big Bully (1996),Comedy|Drama,115676,36929.0,https://image.tmdb.org/t/p/w500/k7of9LRRg9eUOHrQmNkEskoBzzK.jpg,Inimigos Para Sempre
76,Screamers (1995),Action|Sci-Fi|Thriller,114367,9102.0,https://image.tmdb.org/t/p/w500/eqgBf791rMZG7ywHfObpXeMpiRf.jpg,Assassinos Cibernéticos
77,Nico Icon (1995),Documentary,113973,124626.0,https://image.tmdb.org/t/p/w500/w3oiJZTB1UP3lj0uSVLdsYfsBbC.jpg,Nico Icon
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,112744,27526.0,https://image.tmdb.org/t/p/w500/5LmAkbOhMTDK97gqHmzWj1uc4Y0.jpg,Acerto Final
79,"Juror, The (1996)",Drama|Thriller,116731,9623.0,https://image.tmdb.org/t/p/w500/jT2RH8zPG0ACkQPJeLCfEPgsJMc.jpg,A Jurada
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,112445,46785.0,https://image.tmdb.org/t/p/w500/Ata1d5ef5KGiUP8bWkJQ5ZSEpNN.jpg,O Balão Branco
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,114660,400.0,https://image.tmdb.org/t/p/w500/v78eX12fB5ch6zn62oLyIxcONrZ.jpg,Coisas Para Fazer em Denver Quando Você Está Morto
92,Mary Reilly (1996),Drama|Horror|Thriller,117002,9095.0,https://image.tmdb.org/t/p/w500/kd73cQBSjTeM6DgW00vXbQK9PrO.jpg,O Segredo de Mary Reilly
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,114825,12158.0,https://image.tmdb.org/t/p/w500/2P6XsGp8LnwXffF5wJfgDoXTFDq.jpg,Um Vampiro no Brooklyn
94,Beautiful Girls (1996),Comedy|Drama|Romance,115639,9283.0,https://image.tmdb.org/t/p/w500/sHcx1fBmrtZYvFmUywU0d5cvIFd.jpg,Brincando de Seduzir
104,Happy Gilmore (1996),Comedy,116483,9614.0,https://image.tmdb.org/t/p/w500/cCY0t6CcGqueGFyT2xSEUXaggXb.jpg,Um Maluco no Golfe
86,White Squall (1996),Action|Adventure|Drama,118158,10534.0,https://image.tmdb.org/t/p/w500/ofYYQ8AJuYVbi8ElIqzCf0yHyvh.jpg,Tormenta
105,"Bridges of Madison County, The (1995)",Drama|Romance,112579,688.0,https://image.tmdb.org/t/p/w500/rwmVAGodqvd3g5V3qIjI8Jw7ltr.jpg,As Pontes de Madison
87,Dunston Checks In (1996),Children|Comedy,116151,17414.0,https://image.tmdb.org/t/p/w500/jUUmcIakW0U271O4AQZPYINxX9G.jpg,O Hóspede Quer Bananas
100,City Hall (1996),Drama|Thriller,115907,11062.0,https://image.tmdb.org/t/p/w500/aWopIPEZkH8nZE7TS4p40oinSMV.jpg,City Hall: Conspiração no Alto Escalão
85,Angels and Insects (1995),Drama|Romance,112365,8447.0,https://image.tmdb.org/t/p/w500/w1i5JdddoLuzSmnKo5ORDoKdMm2.jpg,Angels and Insects
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,114039,146599.0,https://image.tmdb.org/t/p/w500/2qeQStLy1wiqDFa1Dnm02f5UacO.jpg,Once Upon a Time... When We Were Colored
97,"Hate (Haine, La) (1995)",Crime|Drama,113247,406.0,https://image.tmdb.org/t/p/w500/75WjFRiElQaEGRqNKJdTSB47rMR.jpg,O Ódio
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,115734,13685.0,https://image.tmdb.org/t/p/w500/zoMyTTiVloNBMHe9dco2CrewraQ.jpg,Pura Adrenalina
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,113283,63076.0,https://image.tmdb.org/t/p/w500/laPSb9I8TuYslOh1OcgaTByWKnw.jpg,Heidi Fleiss: Hollywood Madam
82,Antonia's Line (Antonia) (1995),Comedy|Drama,112379,880.0,https://image.tmdb.org/t/p/w500/774YCGVNZUJ5TTAmk80u37SHqUN.jpg,A Excêntrica Família de Antônia
96,In the Bleak Midwinter (1995),Comedy|Drama,113403,40154.0,https://image.tmdb.org/t/p/w500/eUrv3E65orbuPnFikjpjso4TVBN.jpg,In the Bleak Midwinter
88,Black Sheep (1996),Comedy,115697,13997.0,https://image.tmdb.org/t/p/w500/ihGI8Gldygi49hV62mKa850H3Gf.jpg,A Ovelha Negra
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,118040,2045.0,https://image.tmdb.org/t/p/w500/500Ne3EDn3HHpuCQWwGKR74r0cB.jpg,Inesquecível
89,Nick of Time (1995),Action|Thriller,113972,2086.0,https://image.tmdb.org/t/p/w500/h0VTxYDBoY23DqPyq7xxG4z0h0c.jpg,Tempo Esgotado
102,Mr. Wrong (1996),Comedy,117102,47475.0,https://image.tmdb.org/t/p/w500/bhBqIblQyu1Vei6HXr5vmEOckBO.jpg,Deu Tudo Errado
95,Broken Arrow (1996),Action|Adventure|Thriller,115759,9208.0,https://image.tmdb.org/t/p/w500/nJBAouPQajEDOi9HCynWEUUk29p.jpg,A Última Ameaça
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,110251,11907.0,https://image.tmdb.org/t/p/w500/bIUC0c0cnIULgQrExGfoAZgKF5v.jpg,Keiner liebt mich
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,117110,10874.0,https://image.tmdb.org/t/p/w500/p5SS99cIFwX4Xubg8yJ9svNqquX.jpg,Os Muppets na Ilha do Tesouro
108,Catwalk (1996),Documentary,112646,89333.0,https://image.tmdb.org/t/p/w500/8Db2Tx2RkTUozzilF1SGMitcHLl.jpg,Catwalk
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,113326,33542.0,https://image.tmdb.org/t/p/w500/9Sk5pnCdu2Mm1SeaczRj0yEVH9I.jpg,Arrebentando em Nova York
110,Braveheart (1995),Action|Drama|War,112573,197.0,https://image.tmdb.org/t/p/w500/cfnhpDzEV5zTsuaa4dCHFRzPHXx.jpg,Coração Valente
111,Taxi Driver (1976),Crime|Drama|Thriller,75314,103.0,https://image.tmdb.org/t/p/w500/hvJvOYRrF9xxvNzg2Jd9PYWu7c3.jpg,Taxi Driver: Motorista de Táxi
113,Before and After (1996),Drama|Mystery,115645,43566.0,https://image.tmdb.org/t/p/w500/gSjuWIEZMM1ODFiTmgoyQiFvM6g.jpg,Antes e Depois
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,109424,11104.0,https://image.tmdb.org/t/p/w500/49MJKMuSSeTx8yBa8NU7afQvwlx.jpg,Amores Expressos
116,Anne Frank Remembered (1995),Documentary,112373,51352.0,https://image.tmdb.org/t/p/w500/6nyhzrSGimCbdxiY8DEO7kI7xx4.jpg,A Lembrança de Anne Frank
118,If Lucy Fell (1996),Comedy|Romance,116606,10324.0,https://image.tmdb.org/t/p/w500/34DKNQGdKLW6gDhSLQywx88uLvw.jpg,Lado a Lado com o Amor
119,"Steal Big, Steal Little (1995)",Comedy,114536,78406.0,https://image.tmdb.org/t/p/w500/83TvBaWt8wZHUZo8MKwE2cLRBiT.jpg,Disputa em Família
128,Jupiter's Wife (1994),Documentary,110217,290157.0,https://image.tmdb.org/t/p/w500/2GIdaPLF7gYyXnlxGzTwV5fQGWy.jpg,Jupiter's Wife
129,Pie in the Sky (1996),Comedy|Romance,114131,110972.0,https://image.tmdb.org/t/p/w500/iZs2BzP1nbrcHCDX3QEHa3Nn0y4.jpg,Corações em Trânsito
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,110647,27793.0,https://image.tmdb.org/t/p/w500/vPfnatBgrz0nv4Q2slKDOUg3quP.jpg,A História Sem Fim 3
132,Jade (1995),Thriller,113451,11863.0,https://image.tmdb.org/t/p/w500/8KWiZKDYpAgh8n27lanvTuDquyX.jpg,Jade
122,Boomerang (1992),Comedy|Romance,103859,11066.0,https://image.tmdb.org/t/p/w500/6AjZ5vL9auNHB813ztz24NiknZf.jpg,O Príncipe das Mulheres
121,"Boys of St. Vincent, The (1992)",Drama,106473,32119.0,https://image.tmdb.org/t/p/w500/cam0cG0UWdUVtQRvFHJXmNtL1hY.jpg,The Boys of St. Vincent
125,Flirting With Disaster (1996),Comedy,116324,2074.0,https://image.tmdb.org/t/p/w500/2B5B4Snuj92b7CTxNXUVX0zfYHZ.jpg,Procurando Encrenca
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,115033,16934.0,https://image.tmdb.org/t/p/w500/d3Lakfy0K1eRHUbay9kMeWdt7y6.jpg,O Livro Secreto do Jovem Envenenador
135,Down Periscope (1996),Comedy,116130,9101.0,https://image.tmdb.org/t/p/w500/jpw7SydlYQPpqeT1BbdV7yeB69q.jpg,Por Água Abaixo
137,Man of the Year (1995),Documentary,113756,5757.0,https://image.tmdb.org/t/p/w500/jVO3Gvsdqe5C9Jr7cE1fSOtW2Op.jpg,Man of the Year
140,Up Close and Personal (1996),Drama|Romance,118055,9302.0,https://image.tmdb.org/t/p/w500/fPLE2wKOvUQwpzqphfkptLLG25i.jpg,Íntimo & Pessoal
141,"Birdcage, The (1996)",Comedy,115685,11000.0,https://image.tmdb.org/t/p/w500/esSA2kSLCl91mjyz0JBkBijHchq.jpg,A Gaiola das Loucas
144,"Brothers McMullen, The (1995)",Comedy,112585,16388.0,https://image.tmdb.org/t/p/w500/6oWsOJP0ed5gs8n2UywcailoxFN.jpg,Os Irmãos McMullen
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,112442,9737.0,https://image.tmdb.org/t/p/w500/8fkDLt6Fbr2yyBqt3MEwiumnsar.jpg,Os Bad Boys
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,112342,30765.0,https://image.tmdb.org/t/p/w500/tIK40vCE9i8g4VhyJ3LLr5y1ROJ.jpg,Meu Amigo Panda
149,Amateur (1994),Crime|Drama|Thriller,109093,30157.0,https://image.tmdb.org/t/p/w500/n0lFhpnoctfsPo5GXvuvQSgv9Fj.jpg,Amador
147,"Basketball Diaries, The (1995)",Drama,112461,10474.0,https://image.tmdb.org/t/p/w500/gGrawWlxZrGQaXrubY3TQoItTxk.jpg,Diário de um Adolescente
154,Beauty of the Day (Belle de jour) (1967),Drama,61395,649.0,https://image.tmdb.org/t/p/w500/4A2RcS1nBtxXfn5Uz7Ed4OwxBho.jpg,A Bela da Tarde
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,112715,10329.0,https://image.tmdb.org/t/p/w500/hPNSToNIIpRO6y5Rh973leqQqNr.jpg,Congo
150,Apollo 13 (1995),Adventure|Drama|IMAX,112384,568.0,https://image.tmdb.org/t/p/w500/22dmzRXNULYaIllVAiIpa2bjmEY.jpg,Apollo 13 - Do Desastre ao Triunfo
156,Blue in the Face (1995),Comedy|Drama,112541,5894.0,https://image.tmdb.org/t/p/w500/u0iwm9SDjlfFZDrSdSbcebX7VUG.jpg,Sem Fôlego
148,"Awfully Big Adventure, An (1995)",Drama,112427,22279.0,https://image.tmdb.org/t/p/w500/tfXBuRBMbyu9IF9KCFz3kXeWQDT.jpg,Jogos de Ilusão
151,Rob Roy (1995),Action|Drama|Romance|War,114287,11780.0,https://image.tmdb.org/t/p/w500/fD9eq9waJifatll5I7qfXSsUbM2.jpg,"Rob Roy, A Saga de uma Paixão"
152,"Addiction, The (1995)",Drama|Horror,112288,34996.0,https://image.tmdb.org/t/p/w500/1Yy8H2tKQ16mffLFRfxcBHKBdyF.jpg,O Vício
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,112462,414.0,https://image.tmdb.org/t/p/w500/la3GqyfoUdtNtYdI5fAR6Gp6bLq.jpg,Batman Eternamente
159,Clockers (1995),Crime|Drama|Mystery,112688,20649.0,https://image.tmdb.org/t/p/w500/yhxbHuj3FHduCfrJE1sW71jVljZ.jpg,Irmãos de Sangue
155,Beyond Rangoon (1995),Adventure|Drama|War,112495,1873.0,https://image.tmdb.org/t/p/w500/8LlFPQd2nC8TPZ7k34bOEWe7R61.jpg,Muito Além De Rangum
158,Casper (1995),Adventure|Children,112642,8839.0,https://image.tmdb.org/t/p/w500/dbmPaZqKa9VP2PB9khdlXd1EsXU.jpg,"Gasparzinho, o Fantasminha Camarada"
161,Crimson Tide (1995),Drama|Thriller|War,112740,8963.0,https://image.tmdb.org/t/p/w500/xsUP5CRd100Rl2cwGcADCBQJ571.jpg,Maré Vermelha
162,Crumb (1994),Documentary,109508,26564.0,https://image.tmdb.org/t/p/w500/9ocTHdBCJdwJ65Tubg3lYlfMxEY.jpg,Crumb
163,Desperado (1995),Action|Romance|Western,112851,8068.0,https://image.tmdb.org/t/p/w500/8zU4zWkSgERwg4AhnloW1oAyXRg.jpg,A Balada do Pistoleiro
157,Canadian Bacon (1995),Comedy|War,109370,1775.0,https://image.tmdb.org/t/p/w500/bzK2aQ8xUB67kwCR5LHTSY99HtT.jpg,Operação Canadá
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,112857,8512.0,https://image.tmdb.org/t/p/w500/noFr1oa56dcbMgACpiK3NSMeW3Q.jpg,O Diabo Veste Azul
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,112864,1572.0,https://image.tmdb.org/t/p/w500/57Qa54Y9P4Vjr7kzcniQnzLqped.jpg,Duro de Matar 3: A Vingança
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,112887,13552.0,https://image.tmdb.org/t/p/w500/q2HVvkMRou94wpdYNjjeQOM6B1X.jpg,Geração Maldita
168,First Knight (1995),Action|Drama|Romance,113071,6520.0,https://image.tmdb.org/t/p/w500/LHTNBCXrkPk6s84NCw95PXQ9TY.jpg,Lancelot: O Primeiro Cavaleiro
171,Jeffrey (1995),Comedy|Drama,113464,17447.0,https://image.tmdb.org/t/p/w500/cacIqtIkUaD5xYqUUN1J7qJjciQ.jpg,Jeffrey - De Caso com a Vida
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,113114,9073.0,https://image.tmdb.org/t/p/w500/rj2nIzMQG6AxYvl0fqMJomIGJYZ.jpg,Free Willy 2 - A Aventura Continua
173,Judge Dredd (1995),Action|Crime|Sci-Fi,113492,9482.0,https://image.tmdb.org/t/p/w500/1osT1GCXXnDwNzy2EZCux9WtS4j.jpg,O Juiz
180,Mallrats (1995),Comedy|Romance,113749,2293.0,https://image.tmdb.org/t/p/w500/aop4lw4UFdlemLOKJCMq7vGj3Jw.jpg,Barrados no Shopping
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,113481,9886.0,https://image.tmdb.org/t/p/w500/ihO1cm2xseutLixlRM9i684Piyt.jpg,"Johnny Mnemonic, o Cyborg do Futuro"
170,Hackers (1995),Action|Adventure|Crime|Thriller,113243,10428.0,https://image.tmdb.org/t/p/w500/mIlCgd51B5Ssms0Q95FjPPQqM7P.jpg,Hackers - Piratas de Computador
176,Living in Oblivion (1995),Comedy,113677,9071.0,https://image.tmdb.org/t/p/w500/8YAD9tSE6Qy6f3v3ksym0XCIv0A.jpg,Vivendo no Abandono
175,Kids (1995),Drama,113540,9344.0,https://image.tmdb.org/t/p/w500/o8wp6TcKIJF51vPojV3OJTOaEnr.jpg,Kids
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,113820,9070.0,https://image.tmdb.org/t/p/w500/2cwqXv7yGZH1csl8xshmaJurNZM.jpg,Power Rangers: O Filme
